Department Num,BedNum
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
4,121
4,123
4,124
4,125
4,126
4,127
4,128
4,129
4,130
4,131
5,132
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,140
5,141
6,142
6,143
6,144
6,145
6,146
6,147
6,148
6,149
6,150
6,151
7,152
7,153
7,154
7,155
7,156
7,157
7,158
7,159
7,160
7,161
8,162
8,163
8,164
8,165
8,166
8,167
8,168
8,169
8,170
8,171
,
By: Areez Imran,
